日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,单元ID,单元名字,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,曝光新客数,进店新客数,加购新客数,收藏新客数,新客支付金额,新客点击率,新客成交转化率,自然流量转化金额,自然流量曝光量
2024-09-30,371,关键词推广,371,关键词推广,72000524751,小胖墩保温桶2自定义控点击_0929,71987417318,双层不锈钢保温饭盒24小时超长保温桶上班族冬天学生大容量汤壶,837390698231,商品,双层不锈钢保温饭盒24小时超长保温桶上班族冬天学生大容量汤壶,740,18,24.44,0.02432,1.36,33.03,0.00,0,0.00,0,0.00,0,0.00,79.00,79.00,1,0,1,0.05556,3.23,24.44,3,3,0,0.16667,1,0,,4,6.11,4,6.11,1,24.44,0.05556,8.15,1,199.00,1,0,0,0,0.00,1,35,16,15,0.9375,0,0,0.0473,17,2,1,1,0,0.00,0,1,1,79.00,577,16,3,1,79.00,0.02571,0.05556,29.63,344
2024-09-30,371,关键词推广,371,关键词推广,71987883423,初影保温桶黄智能控点击_929,72014138198,冬天超长保温饭盒24小时上班族带饭桶多层大容量学生提桶2024新,837708622581,商品,冬天超长保温饭盒24小时上班族带饭桶多层大容量学生提桶2024新款,1069,27,45.82,0.02526,1.70,42.86,0.00,0,0.00,0,0.00,0,309.70,143.90,453.60,5,3,2,0.18519,9.90,9.16,8,4,4,0.2963,5,0,,13,3.52,13,3.52,5,9.16,0.18519,5.73,6,1994.00,0,5,0,0,0.00,2,41,27,18,0.66667,0,0,0.03835,13,2,2,0.4,0,0.00,0,5,1,90.72,846,27,3,1,184.80,0.02073,0.09524,171.69,2729
2024-09-30,371,关键词推广,371,关键词推广,71976309937,多宝保温桶米色_0929,71976327901,双层不锈钢保温饭盒24小时冬天超长保温提桶上班族学生便携汤壶,836860979187,商品,双层不锈钢保温饭盒24小时冬天超长保温提桶上班族学生便携汤壶,606,36,24.39,0.05941,0.68,40.25,0.00,0,0.00,0,0.00,0,224.70,168.90,393.60,5,3,2,0.13889,16.14,4.88,6,3,3,0.16667,3,0,,9,2.71,9,2.71,3,8.13,0.08333,4.07,8,1472.00,3,0,0,0,0.00,2,79,31,30,0.96774,0,0,0.13036,43,3,5,1,0,0.00,0,5,1,78.72,569,31,5,3,393.60,0.0602,0.13889,155.38,2243
2024-09-30,371,关键词推广,371,关键词推广,71970276257,多层提锅米白3趋势拉新1_0926,71933649557,多层保温饭盒上班族大容量成人便当盒餐盒食堂打包送饭桶2024新款,835913801021,商品,多层保温饭盒上班族大容量成人便当盒餐盒食堂打包送饭桶2024新款,1729,128,58.40,0.07403,0.46,33.78,0.00,0,0.00,0,0.00,0,288.49,159.60,448.09,10,6,4,0.07813,7.67,5.84,15,13,2,0.11719,3,2,29.20,20,2.92,18,3.24,5,19.47,0.02344,3.89,12,1748.90,2,1,0,0,0.00,4,284,111,98,0.88288,0,0,0.16426,155,3,10,1,0,0.00,0,10,1,44.81,1513,111,15,3,448.09,0.07496,0.07937,171.71,2957
2024-09-30,371,关键词推广,371,关键词推广,71917023924,库洛米双饮保温杯粉色趋势收割2_0925,71917151560,儿童保温杯女孩上学专用小学生一年级幼儿园三丽鸥美乐蒂吸管水杯,829810871624,商品,儿童保温杯女孩上学专用小学生一年级幼儿园三丽鸥美乐蒂吸管水杯,359,21,80.00,0.0585,3.81,222.84,0.00,0,0.00,0,0.00,0,85.80,0.00,85.80,1,1,0,0.04762,1.07,80.00,4,4,0,0.19048,1,0,,5,16.00,5,16.00,1,80.00,0.04762,20.00,1,258.00,1,0,0,0,0.00,0,31,17,14,0.82353,0,0,0.08635,11,2,0,0,0,0.00,0,1,1,85.80,280,18,3,0,0.00,0.05882,0,15.47,394
2024-09-30,371,关键词推广,371,关键词推广,71896622543,库洛米双饮保温杯粉色趋势拉新3_0922,71883269150,儿童保温杯女孩上学专用小学生一年级幼儿园三丽鸥美乐蒂吸管水杯,829810871624,商品,儿童保温杯女孩上学专用小学生一年级幼儿园三丽鸥美乐蒂吸管水杯,519,26,45.39,0.0501,1.75,87.46,0.00,0,0.00,0,0.00,0,90.70,59.90,150.60,3,2,1,0.11538,3.32,15.13,7,6,1,0.26923,1,0,,8,5.67,8,5.67,1,45.39,0.03846,6.48,3,457.00,0,1,0,0,0.00,1,46,21,16,0.7619,0,0,0.08863,20,2,2,0.66667,0,0.00,0,3,1,50.20,384,21,5,0,90.70,0.05312,0.08696,43.54,2980
2024-09-30,371,关键词推广,371,关键词推广,71894478125,多层提锅米白3_0921,71868563144,多层保温饭盒上班族大容量成人便当盒餐盒食堂打包送饭桶2024新款,835913801021,商品,多层保温饭盒上班族大容量成人便当盒餐盒食堂打包送饭桶2024新款,1045,108,50.00,0.10335,0.46,47.85,0.00,0,0.00,0,0.00,0,169.70,10.00,179.70,4,3,1,0.03704,3.59,12.50,12,9,3,0.11111,5,0,,17,2.94,17,2.94,5,10.00,0.0463,4.17,4,707.00,3,2,0,0,0.00,9,192,96,95,0.98958,0,0,0.18373,84,2,3,1,0,0.00,0,3,1,59.90,1005,96,10,5,179.70,0.10385,0.03704,99.37,1223
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987662010,蛋仔派对儿童保温杯男孩上学专用小学生水杯吸管杯子女幼儿园水壶,831495105457,商品,蛋仔派对儿童保温杯男孩上学专用小学生水杯吸管杯子女幼儿园水壶,33,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,29,0,0,0,0.00,0,,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987644086,蛋仔派对儿童保温杯男孩小学生上学专用幼儿园2024新款吸管水杯子,826234492041,商品,蛋仔派对儿童保温杯男孩小学生上学专用幼儿园2024新款吸管水杯子,77,4,1.35,0.05195,0.34,17.53,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,1,0,,1,1.35,1,1.35,1,1.35,0.25,,0,0.00,1,0,0,0,0.00,0,4,4,3,0.75,0,0,0.05195,0,1,0,,0,0.00,0,0,,,65,4,0,1,0.00,0.05263,0,1.59,27
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987614229,316库洛米儿童保温杯女生大容量大肚水杯小学生上学专用女孩水壶,682984696089,商品,316库洛米儿童保温杯女生大容量大肚水杯小学生上学专用女孩水壶,28,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,19,0,0,0,0.00,0,,0.00,0
